frame_time_s,f_hz,A_total_rms,B_residual_rms,thd_n_residual_over_total
1.919999999999999929e+01,1.663000000000000000e+03,4.166951459786156192e+04,1.377726862449876307e+03,3.306318481858629144e-02
1.929999999999999716e+01,1.702000000000000000e+03,4.166988742423241638e+04,1.359940616767520623e+03,3.263605209493967291e-02
1.939999999999999858e+01,1.743000000000000000e+03,4.167022040336254577e+04,1.342199393100573388e+03,3.221003825053600500e-02
1.950000000000000000e+01,1.779000000000000000e+03,4.167014466067699686e+04,1.331140329731981410e+03,3.194470143004190382e-02
1.959999999999999787e+01,1.822000000000000000e+03,4.166991317118251027e+04,1.342254700599413127e+03,3.221160301163455975e-02
1.969999999999999929e+01,1.865000000000000000e+03,4.166953461837375653e+04,1.364323707098739305e+03,3.274151534433395599e-02
1.979999999999999716e+01,1.906000000000000000e+03,4.166910838505951688e+04,1.374566426182678697e+03,3.298766111049139527e-02
1.989999999999999858e+01,1.950000000000000000e+03,4.166896422388515930e+04,1.365668576708465480e+03,3.277423862447839675e-02
2.000000000000000000e+01,1.999000000000000000e+03,4.166906891231342161e+04,1.343592824010934692e+03,3.224436876279460767e-02
2.009999999999999787e+01,2.041000000000000000e+03,4.166909052762910142e+04,1.319649271693387846e+03,3.166974020751379959e-02
2.019999999999999929e+01,2.093000000000000000e+03,4.166835273187748680e+04,1.302175694332711146e+03,3.125095207655063934e-02
2.029999999999999716e+01,2.139000000000000000e+03,4.166649140474823071e+04,1.293301931184795194e+03,3.103937690893294327e-02
2.039999999999999858e+01,2.194000000000000000e+03,4.166429295698645001e+04,1.292109844019821139e+03,3.101240300306487216e-02
2.050000000000000000e+01,2.245000000000000000e+03,4.166315297710093000e+04,1.297882993820364391e+03,3.115181883938817828e-02
2.059999999999999787e+01,2.292000000000000000e+03,4.166381183782160952e+04,1.310478332431879608e+03,3.145363505223620904e-02
2.069999999999999929e+01,2.346000000000000000e+03,4.166605785160440428e+04,1.334324029685574942e+03,3.202424463667361693e-02
